35
1002|Account Created|0.00|0.00|17/04/2026 17:27:09
1002|Deposit|1200.00|1200.00|17/04/2026 17:27:22
1002|Withdraw|210.00|990.00|17/04/2026 17:27:35
1002|Account Closed|990.00|0.00|17/04/2026 17:28:20
1002|Account Created|1.00|1.00|17/04/2026 17:36:07
1002|Deposit|2.00|3.00|17/04/2026 17:36:51
1002|Withdraw|0.10|2.90|17/04/2026 17:37:05
1002|Account Closed|2.90|0.00|17/04/2026 17:37:44
1002|Account Created|1200.00|1200.00|19/04/2026 15:25:39
1002|Deposit|8000000.00|8001200.00|19/04/2026 15:25:52
1002|Account Created|5000.00|5000.00|20/04/2026 11:18:36
1002|Deposit|500.00|5500.00|20/04/2026 11:20:00
1002|Withdraw|4000.00|1500.00|20/04/2026 11:20:19
1002|Account Created|100.00|100.00|20/04/2026 15:08:19
1003|Account Created|15000.00|15000.00|20/04/2026 15:31:36
1002|Deposit|2000.00|2100.00|20/04/2026 15:32:01
1002|Withdraw|550.00|1550.00|20/04/2026 15:33:18
1002|Account Closed|1550.00|0.00|20/04/2026 15:35:02
1003|Account Closed|15000.00|0.00|20/04/2026 15:35:28
1004|Account Created|15000.00|15000.00|20/04/2026 15:37:09
1005|Account Created|158452.00|158452.00|20/04/2026 15:38:20
1006|Account Created|24999.99|24999.99|20/04/2026 15:39:37
1007|Account Created|24999.99|24999.99|20/04/2026 15:39:38
1007|Account Closed|24999.99|0.00|20/04/2026 15:40:13
1002|Account Created|55549.98|55549.98|20/04/2026 16:02:53
1002|Deposit|1000.00|56549.98|20/04/2026 16:04:02
1002|Withdraw|1500.00|55049.98|20/04/2026 16:04:23
1002|Account Closed|55049.98|0.00|20/04/2026 16:05:01
1002|Account Created|0.00|0.00|21/04/2026 12:07:05
1002|Deposit|2000.00|2000.00|21/04/2026 12:07:22
1002|Account Created|50000.00|50000.00|21/04/2026 13:14:43
1002|Deposit|3000.00|53000.00|21/04/2026 13:15:04
1003|Account Created|3000.00|3000.00|21/04/2026 13:16:20
1002|Withdraw|5000.00|48000.00|21/04/2026 13:17:08
1003|Account Closed|3000.00|0.00|21/04/2026 13:17:49
